asset_id,category,asset,truth_status,source_bias,game_relevance,production_state,required_links
A001,Identity and ordinary life,Scanned birth-register extract with one corrected letter in the surname.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A002,Identity and ordinary life,Two incompatible childhood addresses printed by different anniversary magazines.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A003,Identity and ordinary life,Primary-school music notebook with a teacher's red correction over the first appearance of 'Karlyta'.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A004,Identity and ordinary life,Photocopy of a library card showing what she borrowed before becoming famous.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A005,Identity and ordinary life,"Bus pass laminated twice, with the second layer trapping a strand of silver tinsel.",unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A006,Identity and ordinary life,Handwritten recipe attributed to her mother and later used in a supermarket campaign.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A007,Identity and ordinary life,Apartment intercom label removed after fans began photographing the entrance.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A008,Identity and ordinary life,Veterinary invoice for a dog absent from every authorized biography.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A009,Identity and ordinary life,Old phone contact sheet where the President's office is saved under a florist's name.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A010,Identity and ordinary life,Dry-cleaning ticket collected on the night of a nationally televised breakdown.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
